,City,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
1,Albany,US,42.6,-73.97,46.4,42,75,13.87
2,Norman Wells,CA,65.28,-126.83,23.0,73,75,17.22
3,Kastamonu Province,TR,41.5,33.67,41.32,66,100,2.73
5,Nikolskoye,RU,59.7,30.79,46.4,42,37,13.42
8,Udarnyy,RU,54.34,42.86,37.38,90,100,17.54
9,Butaritari,KI,3.07,172.79,82.9,80,67,12.5
11,Jamestown,US,42.1,-79.24,30.99,80,90,19.46
12,Half Moon Bay,US,37.46,-122.43,68.0,76,90,12.75
14,Popova,RU,42.96,131.72,35.6,69,75,11.18
16,Yellowknife,CA,62.46,-114.35,30.2,58,90,3.36
17,Tigil',RU,57.8,158.67,21.72,91,0,6.71
20,Kiruna,SE,67.86,20.23,28.4,68,60,2.24
23,Dikson,RU,73.51,80.55,31.86,97,100,17.56
24,Tiksi,RU,71.69,128.87,24.82,93,100,1.92
27,Upernavik,GL,72.79,-56.15,27.75,91,100,10.16
29,Sobolevo,RU,54.43,31.9,38.53,84,96,10.89
30,Kushima,JP,31.46,131.23,53.6,34,75,18.34
31,Chapais,CA,49.78,-74.85,30.2,92,90,6.93
32,Black River,JM,18.03,-77.85,86.0,70,75,6.93
33,Longyearbyen,SJ,78.22,15.64,17.6,61,0,6.93
36,La Ronge,CA,55.1,-105.28,35.6,74,75,14.99
40,Wagar,SD,16.15,36.2,71.49,38,0,9.06
41,Ōdachō-ōda,JP,35.18,132.5,48.2,45,75,14.99
42,Qaanaaq,GL,77.48,-69.36,21.38,94,100,7.34
44,Husavik,IS,66.04,-17.34,46.4,65,21,17.22
45,Puerto del Rosario,ES,28.5,-13.86,64.4,59,4,16.11
47,Gornopravdinsk,RU,60.05,69.9,37.27,91,69,5.77
49,Colares,PT,38.8,-9.45,59.0,82,75,9.17
50,Kichera,RU,55.94,110.1,29.7,72,43,1.5
51,Vinh,VN,18.67,105.67,77.81,90,83,2.01
52,Berlevåg,NO,70.86,29.09,39.2,55,75,32.21
53,Zhigansk,RU,66.77,123.37,25.32,97,100,10.29
55,Yerofey Pavlovich,RU,53.97,121.97,30.38,65,0,11.34
56,Barrow,US,71.29,-156.79,14.0,78,90,11.41
57,Katsuura,JP,35.13,140.3,57.99,71,75,12.75
58,Leningradskiy,RU,69.38,178.42,16.97,90,39,6.53
59,Talnakh,RU,69.49,88.4,33.8,86,40,11.18
62,Hong Kong,HK,22.29,114.16,78.01,88,20,14.99
64,Hasaki,JP,35.73,140.83,55.0,81,75,6.93
67,Jumla,NP,29.27,82.18,41.38,31,75,3.15
70,Bathsheba,BB,13.22,-59.52,80.6,74,40,18.34
71,Narsaq,GL,60.92,-46.05,50.0,37,65,34.45
72,Tasiilaq,GL,65.61,-37.64,33.8,91,100,25.28
74,Kavaratti,IN,10.57,72.64,85.48,72,78,9.89
75,Pacific Grove,US,36.62,-121.92,63.0,67,20,11.41
76,La Rioja,ES,42.25,-2.5,50.0,93,75,8.05
77,Chaumont,FR,48.12,5.13,48.99,76,80,10.27
78,Lompoc,US,34.64,-120.46,72.0,67,1,20.8
79,Sterling,US,39.01,-77.43,62.6,23,40,25.28
80,Kosikha,RU,53.36,84.58,51.8,23,95,6.71
83,Izhma,RU,65.01,53.91,26.65,97,82,3.96
85,Khatanga,RU,71.97,102.5,28.35,97,81,3.8
88,Hilo,US,19.73,-155.09,84.2,51,1,18.34
90,Naze,JP,28.37,129.48,60.8,59,75,18.34
91,Hobyo,SO,5.35,48.53,83.75,75,87,8.1
93,Key Largo,US,25.09,-80.45,87.01,62,63,7.0
94,Cherskiy,RU,68.75,161.3,19.02,95,95,8.3
95,Ponta do Sol,PT,32.67,-17.1,60.8,55,40,8.05
96,Lata,PT,40.16,-8.33,57.99,88,58,5.01
98,Vila Franca do Campo,PT,37.72,-25.43,59.0,72,20,8.05
100,Nowy Targ,PL,49.48,20.03,30.2,63,0,1.12
101,Clyde River,CA,70.47,-68.59,5.0,77,75,11.41
104,Kathu,TH,7.92,98.33,77.0,94,20,10.42
106,Kapaa,US,22.08,-159.32,82.4,65,1,12.75
107,Salalah,OM,17.02,54.09,82.4,74,77,2.24
109,Wexford,IE,52.33,-6.46,53.01,74,62,1.01
110,Qazanbulaq,AZ,40.62,46.65,55.4,62,90,9.17
111,Havre-St-Pierre,CA,50.23,-63.6,33.8,47,1,6.93
114,Tyup,KG,42.73,78.36,47.35,26,62,3.74
116,Hofn,IS,64.25,-15.21,42.69,78,47,6.38
117,Pevek,RU,69.7,170.31,11.35,94,100,8.86
118,Kenai,US,60.55,-151.26,42.8,93,90,3.36
120,Fort Nelson,CA,58.81,-122.7,57.2,33,75,8.05
121,São Filipe,CV,14.9,-24.5,72.32,77,0,17.34
