,City,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Alofi,NU,-19.06,-169.92,84.2,66,75,13.87
4,Hermanus,ZA,-34.42,19.23,48.0,97,1,6.04
6,São João da Barra,BR,-21.64,-41.05,71.89,84,6,7.63
7,Ushuaia,AR,-54.8,-68.3,42.8,81,90,23.04
10,Puerto Ayora,EC,-0.74,-90.35,86.0,66,20,17.22
13,Souillac,MU,-20.52,57.52,75.99,77,13,7.0
15,Mataura,NZ,-46.19,168.86,54.0,91,99,5.01
18,Bluff,NZ,-46.6,168.33,54.0,91,96,5.01
19,Atuona,PF,-9.8,-139.03,81.9,68,0,12.57
21,Punta Arenas,CL,-53.15,-70.92,48.2,61,95,42.5
22,Busselton,AU,-33.65,115.33,63.0,84,99,14.07
25,Rikitea,PF,-23.12,-134.97,77.29,75,77,10.58
26,Saint-Philippe,RE,-21.36,55.77,69.8,73,4,6.93
28,Cape Town,ZA,-33.93,18.42,57.99,93,0,3.36
34,Neuquén,AR,-38.95,-68.06,64.4,52,99,4.7
35,San Rafael,AR,-34.62,-68.33,61.48,48,85,4.03
37,Carnarvon,AU,-24.87,113.63,69.8,83,10,6.93
38,Mar del Plata,AR,-38.0,-57.56,57.99,66,100,4.7
39,Port Keats,AU,-14.25,129.55,82.96,67,68,6.67
43,Inhambane,MZ,-23.86,35.38,73.02,83,0,8.77
46,Caravelas,BR,-17.71,-39.25,76.41,80,24,11.23
48,Maracaçumé,BR,-2.04,-45.96,75.11,93,99,2.33
54,Dunedin,NZ,-45.87,170.5,57.99,62,85,5.99
60,Avarua,CK,-21.21,-159.78,78.8,83,2,10.29
61,Poum,NC,-20.23,164.02,78.06,76,21,11.77
63,Kruisfontein,ZA,-34.0,24.73,58.53,77,84,4.25
65,Vaini,TO,-21.2,-175.2,82.4,74,75,10.29
66,Constitución,CL,-35.33,-72.42,61.07,46,77,7.09
68,Alvorada,BR,-12.48,-49.12,74.86,82,80,1.68
69,New Norfolk,AU,-42.78,147.06,55.0,66,55,5.01
73,Opuwo,NA,-18.06,13.84,66.78,25,0,5.19
